Sample,Porosity,lPerm,lMode
147,0.1967,1.344392274,0.859138297
148,0.28144,1.371067862,0.846955325
149,0.3197,1.416633851,0.835690571
150,0.26025,1.142085855,0.810232518
151,0.20057,1.232627693,0.804820679
152,0.26601,1.374038602,0.789580712
153,0.27791,1.3588748,0.783188691
154,0.2377,1.178976947,0.768638101
155,0.15413,0.588300846,0.761927838
156,0.26883,1.264581729,0.737192643
157,0.2894,1.577836341,0.715167358
158,0.1027,-0.05806144,0.711807229
159,0.21338,0.700617196,0.707570176
160,0.17585,1.409627151,0.693726949
161,0.22054,0.953759692,0.679427897
162,0.19624,0.822808584,0.678518379
163,0.18677,0.523746467,0.674861141
164,0.17163,0.787176992,0.658964843
165,0.16168,0.574540541,0.649334859
166,0.2402,0.901975679,0.632457292
167,0.26269,1.178976947,0.624282096
168,0.23497,0.973127854,0.608526034
169,0.2264,1.120573931,0.607455023
170,0.25738,1.238693297,0.606381365
171,0.22095,0.872738827,0.603144373
172,0.2499,1.269512944,0.596597096
173,0.23635,0.738252427,0.588831726
174,0.20353,0.686896232,0.579783597
175,0.23969,0.82540015,0.5774918
176,0.17987,0.439900853,0.57634135
177,0.23504,1.148951061,0.575187845
178,0.21421,0.865778887,0.556302501
179,0.23801,0.939928395,0.553883027
180,0.23447,0.678909705,0.506505032
181,0.13719,3.258229108,1.946992341
182,0.18773,3.095660088,1.817961805
183,0.22247,2.826450014,1.803730171
184,0.1207,2.5040368,1.791269481
185,0.21448,2.662757832,1.747023177
186,0.20943,2.94377678,1.740757323
187,0.18353,3.011728588,1.712733859
188,0.16129,3.104751977,1.700703717
189,0.14958,2.848276491,1.694166296
190,0.1471,2.947030857,1.668851648
191,0.12281,1.770082851,1.659060072
192,0.20317,2.60072445,1.648360011
193,0.15361,-0.276142238,1.634880141
194,0.10813,2.294078716,1.534533756
195,0.13386,1.759756281,1.448551739
196,0.14645,1.922165132,1.437909036
197,0.09455,1.057273845,1.390405156
198,0.24402,1.704502273,1.381295623
199,0.1401,1.92992956,1.364175633
200,0.14331,1.829571923,1.31386722
201,0.15558,0.987397205,1.2955671
202,0.13826,1.813187677,1.266701967
203,0.08807,0.930563443,1.216693599
204,0.13006,1.208922952,1.198657087
205,0.20535,1.767125427,1.184407485
206,0.17471,1.065949249,1.172602931
207,0.17324,0.551637826,1.090610708
208,0.16332,1.404833717,0.977266212
209,0.12588,1.006810774,0.92992956
210,0.19843,0.989965681,0.902546779
211,0.09875,0.044135851,0.720985744
212,0.04993,-0.149555952,0.540329475
213,0.07652,-0.830002463,0.523746467
214,0.06175,-1.699187206,0.519827994
215,0.09193,0.045983699,0.445604203
216,0.11792,-0.678836703,0.374748346
217,0.19444,0.537201833,0.485721426
218,0.20474,0.922279,0.463892989
219,0.23645,1.065307028,0.421603927
220,0.20054,0.922938143,0.371067862
221,0.18473,0.734253218,0.36361198
222,0.12464,0.331366552,0.324282455
223,0.1708,0.417006425,0.281033367
224,0.15144,0.146447435,0.274157849
225,0.19911,0.740299515,0.269512944
226,0.1784,0.482430492,0.257678575
227,0.15194,0.36152008,0.255272505
228,0.25165,0.906405084,0.243038049
229,0.19947,0.620052729,0.240549248
230,0.19523,0.825549442,0.240549248
231,0.12288,0.085004999,0.222716471
232,0.2114,0.416640507,0.220108088
233,0.17446,0.197280558,0.178976947
234,0.20239,0.73600586,0.155336037
235,0.17964,0.606284606,0.149219113
236,0.213,0.910058493,0.1430148
237,0.2597,1.761175813,0.133538908
238,0.19628,0.727101861,0.123851641
239,0.20068,0.672531935,0.123851641
240,0.21323,0.311923309,0.086359831
241,0.10627,-0.70863115,0.064457989
242,0.16541,0.315046225,0.053078443
243,0.20258,0.401863886,0.053078443
244,0.11716,-1.060480747,0.049218023
245,0.18577,0.078184846,0.049218023
246,0.10507,-0.323096151,0.045322979
247,0.208,0.346352974,0.025305865
248,0.08428,-1.229000795,0.017033339
249,0.17639,-0.089306242,0.012837225
250,0.19887,0.418798291,0.012837225
251,0.17524,-0.100425704,-0.026872146
252,0.162,-0.308874285,-0.045757491
253,0.18278,0.388083431,-0.045757491
254,0.08314,-0.844572861,-0.075720714
255,0.10771,-0.378615972,-0.086186148
256,0.1495,-0.537497185,-0.161150909
257,0.09725,-0.95546024,-0.167491087
258,0.11913,-0.608888386,-0.180456064
259,0.08201,-0.800793521,-0.187086643
260,0.07406,-0.719649307,-0.244125144
261,0.09782,-0.646853454,-0.27572413
262,0.05255,-1.696803943,-0.37675071
263,0.0633,-2.024108864,-0.397940009
264,0.10361,-1.257824957,-0.397940009
265,0.04317,-1.801342913,-0.508638306
266,0.07967,-1.612610174,-0.585026652
267,0.06848,-1.626352528,-0.602059991
268,0.04063,-2.274088368,-0.602059991
269,0.10636,-1.599807511,-0.619788758
270,0.07891,-1.906578315,-0.657577319
271,0.04798,-2.310691141,-0.677780705
272,0.08337,-1.919373513,-0.698970004
273,0.06392,-2.102372909,-0.721246399
274,0.04468,-2.785156152,-0.769551079
275,0.04534,-2.236572006,-0.795880017
276,0.06496,-1.258060922,-0.795880017
277,0.06432,-2.530177984,-0.823908741
278,0.06147,-2.118045029,-0.823908741
279,0.06514,-2.432973634,-0.823908741
280,0.09554,-1.27083521,-0.823908741
281,0.03289,-2.821023053,-0.853871964
282,0.06551,-2.295849483,-0.853871964
283,0.04656,-2.657577319,-0.886056648
284,0.04783,-2.428291168,-0.886056648
285,0.07418,-1.502655619,-0.920818754
286,0.07279,-2.334419009,-0.920818754
287,0.04138,-1.804100348,-0.920818754
288,0.05314,-2.600326279,-0.920818754
289,0.0522,-2.818156412,-0.920818754
290,0.09134,-1.584525832,-0.958607315
291,0.07104,-1.585026652,-0.958607315
292,0.04472,-2.13667714,-1.045757491
293,0.06799,-0.603818095,-1.045757491
294,0.04546,-2.239577517,-1.096910013
295,0.06622,-2.614393726,-1.096910013
296,0.03942,-2.468521083,-1.096910013
297,0.05897,-3.050609993,-1.096910013
298,0.03647,-2.89279003,-1.096910013
299,0.02819,-2.605548319,-1.096910013
300,0.05365,-2.586700236,-1.15490196
301,0.04293,-2.200659451,-1.22184875
302,0.0598,-2.356547324,-1.22184875
303,0.02669,-2.995678626,-1.22184875
304,0.04077,-2.050609993,-1.22184875
305,0.02758,-2.91721463,-1.301029996
306,0.03258,-2.8569852,-1.301029996
307,0.03599,-3.823908741,-1.301029996
308,0.02939,-2.346787486,-1.301029996
309,0.02311,-2.537602002,-1.301029996
310,0.02897,-2.477555766,-1.301029996
311,0.03747,-3.823908741,-1.397940009
